explanation,classified_category
"According to Source of Aid 1, Iceland has provided around 1.38 bn ISK through UN Agencies (OCHA, UNHCR, UNICEF, UNFPA and WFP) and the ICRC. We substract 735 m ISK pledged before and reach 645 m ISK for this package. Given that, so far, Iceland has provided its aid evenly among humanitarian institutions, we split the 645 m ISK between the 6 partners. Here is reported the funds to the ICRC",General Announcements
"According to Source of Aid 1, Iceland contributed 315 million ISK to the Ukraine Energy Support Fund. We substract 215 m ISK pledged before and reach 100 m ISK for this package.",Financial & Economic Aid
"On December 15th, the Icelandic Parliament discussed an increase regarding development cooperation of 1 billion ISK alongside 750 ISK for defense related projects (Source of Aid 1). This spending was ultimately included into the 2024 FY budget as part of 35.10 Development Cooperation under the responsabilities of the Ministry of Foreign Affairs (Source of Aid 2). This increase was coordinated as part of Iceland's longer term development plan (Source of Aid 3) and a Ukraine specific support plan planned to be presented for the spring of 2024. In this entry we account for the 1 billion ISK in development cooperation including future economic and humanitarian aid.",Financial & Economic Aid
"According to the Ukraine Ministry of Energy (Source of Aid 1), Iceland contributed additionally EUR 667 000 to Ukraine Energy Support Fund. Around EUR 2.7 million is recorded on the webpage of the Fund (Source of Aid 2), which indicates that we don´t have EUR 0.67 million recorded. Therefore, we record this contribution in this entry.",Financial & Economic Aid
"According to the Source of Aid 1, the Ministry of Foreign Affairs of Iceland and Össur (company) will be financing a pilot project on prosthetic solutions for 20 individuals receiving care at the rehabilitation hospital in Dnipro. The Government will be contributing EUR 65 000 (ISK 10 million) to the initiative",Financial & Economic Aid
"According to Source of Aid 1, Iceland  has made a EUR 200,000 contribution to NATO’s Trust Fund for Ukraine Professional Development Programme.",Financial & Economic Aid
"According to Source of Aid 1, Iceland leads a demining training mission for the Ukraine military with the Nordic countries and Lithuania in Lithuania.",Training & Logistics & Support
"According to Source of Aid 2, Iceland transferred about 12,000 pieces of winter clothing to the Armed Forces of Ukraine.",Artillery & Heavy Weapons
"According to Source of Aid 1, Iceland supports Ukraine with ISK 521.9 million through the NATO Comprehensive Assistance Package. ",Financial & Economic Aid
"According to Source of Aid 1, Iceland supports Ukraine with ISK 527.9 million through the UK-led International Fund for Ukraine.",Financial & Economic Aid
"According to Source of Aid 1, Iceland will purchase and donate a fully equipped mobile field hospital to Ukraine, which is worth ISK 1.2 billion.",Financial & Economic Aid
"According to Source of Aid 1, Iceland has financed and delivered 10 fuel trucks for the Ukrainian military.
",Training & Logistics & Support
"According to Source of Aid 1, Iceland has joined a UK-led training programme for Ukrainian soldiers. The programme aims to train trainers in combat medicine.",Ground Combat
"On December 15th, the Icelandic Parliament discussed an increase regarding development cooperation of 1 billion ISK alongside 750 ISK for defense related projects (Source of Aid 1). This spending was ultimately included into the 2024 FY budget as part of 35.10 Development Cooperation under the responsabilities of the Ministry of Foreign Affairs (Source of Aid 2). This increase was coordinated as part of Iceland's longer term development plan (Source of Aid 3) and a Ukraine specific support plan planned to be presented for the spring of 2024. In this entry we account for the 750 million ISK in defense related projects.",Financial & Economic Aid
"According to Source of Aid 1, Iceland supports Ukraine with 340,000 EUR through the NATO Comprehensive Assistance Package.",Financial & Economic Aid
"According to Source of Aid 1, Iceland has joined the Czech ammunition initiative aimed at collecting contributions for supplying 800,000 artillery shells. The contribution is EUR 2 million allocated for the project.",Artillery & Heavy Weapons
"According to Source of Aid 1, Iceland is providing ISK 75 million on the needs of female soldiers in Ukraine: uniforms, bulletproof vests, medical, hygiene supplies.",Financial & Economic Aid
"According to Source of Aid 1, Iceland has decided to send ISK 130 million in emergency financial assistance to Ukraine via the World Bank.",Financial & Economic Aid
"According to Source of Aid 1, Iceland's Prime Minister announced an additional 130 million ISK to the World Bank's plan for economic emergency assistance to Ukraine at the High-Level International Donors’ Conference for Ukraine which took place in Warsaw 5 May.",Financial & Economic Aid
"According to Source of Aid 1, Iceland has provided economic support of 715 m ISK  to Ukraine through the World Bank’s Multi-Donor Trust Funds for Ukraine. We substract the 260 m ISK pledged before and reach 455 m ISK for this package.",Financial & Economic Aid
"According to Source of Aid 1, Iceland has provided economic support of 1,415bn ISK to Ukraine through the World Bank’s Multi-Donor Trust Funds for Ukraine. We substract the 715 m ISK pledged before and reach 700 m ISK for this package.",Financial & Economic Aid
"According to the World Bank overview page, Iceland donated $ 12 million on Ukraine related project through the WB. In out dataset we reported approximately USD 10.26 million. Therefore, we report the difference here.",Financial & Economic Aid
"According to the Ukraine support overview page on the Italian Ministry of Foreign Affairs and International Cooperation website (Source 1), the Italian government provided €300 million to UNHCR to support internally displaced persons (IDPs) in Ukraine through the ""Fondo Premialità."" Since no official announcement related to this aid has been found, we are unable to determine the exact date of the commitment. However, a remark in the 2023 G7 Summit Progress Report (Source 2) notes that ""Before the beginning of the war, Italy committed EUR 3 million to Ukraine through a specific repatriation fund (“Fondo Premialità”) for assisted repatriations through UNHCR."" Based on this, we assume that the aid was committed no later than February 24, 2024.",Financial & Economic Aid
"Grant with humanitarian purposes to the International Red Cross activities in Ukraine. According to ""Source of Aid 1"", Italy has supported the Ukrainian defence with substantial military support (ITM1-ITM3), granted 110 million EUR (ITF1), committed to a loan of 200 million EUR (ITF2), donated 1 million EUR to ICRC operations in Ukraine (ITH2), shipped health/sanitary goods via the EU Civil Protection Mechanism (ITH3), sent medical equipment via Poland and Rumania to Ukraine (ITH4), donated 45 fire-vehicles (ITH5), additionally contributed with 25 million EUR in response to the humanitarian appeals lanunched by the United Nations system and the International Red Cross (ITH6). We do not iclude aids to international organisations or aids to Ukrainian refugees outside Ukraine. ",Artillery & Heavy Weapons
Food and first-necessity items. The aid package falls within the framework of the EU Civil Protection Mechanism (UCPM). This mechanism organizes logistics for donations and covers some of the transportation cost. No further information regarding the shipment has been disclosed. ,Training & Logistics & Support
"Italian Civil Protection sent materials via Poland (200 tents for a total of 1000 people; 1000 camp beds; 1000 sleeping bags), medicines and medical equipment via Romania (23 ambulances, as well as 3 field kitchens). According to ""Source of Aid 1"", Italy has supported the Ukrainian defence with substantial military support (ITM1-ITM3), granted 110 million EUR (ITF1), committed to a loan of 200 million EUR (ITF2), donated 1 million EUR to ICRC operations in Ukraine (ITH2), shipped health/sanitary goods via the EU Civil Protection Mechanism (ITH3), sent medical equipment via Poland and Rumania to Ukraine (ITH4), donated 45 fire-vehicles (ITH5), additionally contributed with 25 million EUR in response to the humanitarian appeals lanunched by the United Nations system and the International Red Cross (ITH6). We do not iclude aids to international organisations or aids to Ukrainian refugees outside Ukraine. ",Artillery & Heavy Weapons
"Italian Civil Protection sent materials via Poland (200 tents for a total of 1000 people; 1000 camp beds; 1000 sleeping bags), medicines and medical equipment via Romania (23 ambulances, as well as 3 field kitchens). According to ""Source of Aid 1"", Italy has supported the Ukrainian defence with substantial military support (ITM1-ITM3), granted 110 million EUR (ITF1), committed to a loan of 200 million EUR (ITF2), donated 1 million EUR to ICRC operations in Ukraine (ITH2), shipped health/sanitary goods via the EU Civil Protection Mechanism (ITH3), sent medical equipment via Poland and Rumania to Ukraine (ITH4), donated 45 fire-vehicles (ITH5), additionally contributed with 25 million EUR in response to the humanitarian appeals lanunched by the United Nations system and the International Red Cross (ITH6). We do not iclude aids to international organisations or aids to Ukrainian refugees outside Ukraine. ",Artillery & Heavy Weapons
"Italian Civil Protection sent materials via Poland (200 tents for a total of 1000 people; 1000 camp beds; 1000 sleeping bags), medicines and medical equipment via Romania (23 ambulances, as well as 3 field kitchens). According to ""Source of Aid 1"", Italy has supported the Ukrainian defence with substantial military support (ITM1-ITM3), granted 110 million EUR (ITF1), committed to a loan of 200 million EUR (ITF2), donated 1 million EUR to ICRC operations in Ukraine (ITH2), shipped health/sanitary goods via the EU Civil Protection Mechanism (ITH3), sent medical equipment via Poland and Rumania to Ukraine (ITH4), donated 45 fire-vehicles (ITH5), additionally contributed with 25 million EUR in response to the humanitarian appeals lanunched by the United Nations system and the International Red Cross (ITH6). We do not iclude aids to international organisations or aids to Ukrainian refugees outside Ukraine. ",Artillery & Heavy Weapons
"Italian Civil Protection sent materials via Poland (200 tents for a total of 1000 people; 1000 camp beds; 1000 sleeping bags), medicines and medical equipment via Romania (23 ambulances, as well as 3 field kitchens). According to ""Source of Aid 1"", Italy has supported the Ukrainian defence with substantial military support (ITM1-ITM3), granted 110 million EUR (ITF1), committed to a loan of 200 million EUR (ITF2), donated 1 million EUR to ICRC operations in Ukraine (ITH2), shipped health/sanitary goods via the EU Civil Protection Mechanism (ITH3), sent medical equipment via Poland and Rumania to Ukraine (ITH4), donated 45 fire-vehicles (ITH5), additionally contributed with 25 million EUR in response to the humanitarian appeals lanunched by the United Nations system and the International Red Cross (ITH6). We do not iclude aids to international organisations or aids to Ukrainian refugees outside Ukraine. ",Artillery & Heavy Weapons
"Italian Civil Protection sent materials via Poland (200 tents for a total of 1000 people; 1000 camp beds; 1000 sleeping bags), medicines and medical equipment via Romania (23 ambulances, as well as 3 field kitchens). According to ""Source of Aid 1"", Italy has supported the Ukrainian defence with substantial military support (ITM1-ITM3), granted 110 million EUR (ITF1), committed to a loan of 200 million EUR (ITF2), donated 1 million EUR to ICRC operations in Ukraine (ITH2), shipped health/sanitary goods via the EU Civil Protection Mechanism (ITH3), sent medical equipment via Poland and Rumania to Ukraine (ITH4), donated 45 fire-vehicles (ITH5), additionally contributed with 25 million EUR in response to the humanitarian appeals lanunched by the United Nations system and the International Red Cross (ITH6). We do not iclude aids to international organisations or aids to Ukrainian refugees outside Ukraine. ",Artillery & Heavy Weapons
"The Italian Corpo Nazionale dei Vigili del Fuoco donated 45 vehicles to their Ukrainian counterpart. The shipment, coordinated by the Italian Civil Protection, left by train towards Slovakia. According to ""Source of Aid 1"", Italy has supported the Ukrainian defence with substantial military support (ITM1-ITM3), granted 110 million EUR (ITF1), committed to a loan of 200 million EUR (ITF2), donated 1 million EUR to ICRC operations in Ukraine (ITH2), shipped health/sanitary goods via the EU Civil Protection Mechanism (ITH3), sent medical equipment via Poland and Rumania to Ukraine (ITH4), donated 45 fire-vehicles (ITH5), additionally contributed with 25 million EUR in response to the humanitarian appeals lanunched by the United Nations system and the International Red Cross (ITH6). We do not iclude aids to international organisations or aids to Ukrainian refugees outside Ukraine. ",Artillery & Heavy Weapons
"Donation amounting to 4 million EUR for the International Red Cross in Ukraine, 6 million for UNICEF in Ukraine and 6 million to the OCHA's ""Ukraine Humanitarian Fund"". All of these international organizations are active in Ukraine. We do not count donations made to international organisations that are not explicitly active in Ukraine.",Financial & Economic Aid
"Donation amounting to 4 million EUR for the International Red Cross in Ukraine, which we report elsewhere and 6 million for UNICEF in Ukraine which we report here and 6 million to the OCHA's ""Ukraine Humanitarian Fund"" elsewhere. All of these international organizations are active in Ukraine. We do not count donations made to international organisations that are not explicitly active in Ukraine.",Financial & Economic Aid
"Donation amounting to 4 million EUR for the International Red Cross in Ukraine, which we report elsewhere and 6 million for UNICEF in Ukraine which we report elsewhere and 6 million to the OCHA's ""Ukraine Humanitarian Fund"" which we report here. All of these international organizations are active in Ukraine. We do not count donations made to international organisations that are not explicitly active in Ukraine.",Financial & Economic Aid
"At the Solidarity with Ukraine conference in Paris, Italy's Minister of Foreign Affairs allocates an additional 10 million EUR in aid. On December 27, Zelenskyy thanks Italy for this aid (Sources of Aid 2 and 3)",Financial & Economic Aid
Italy will provide over 50 tons of electrical material for the reconstruction of the power grid destroyed by Russian attacks. This will guarantee power for around three million people. ,Financial & Economic Aid
"At the 'Conference on the Reconstruction of Ukraine' in Italy, the Italian Cooperation provides further grants and soft loan funds for humanitarian and resilance/fast recovery projects. The assistance is worth 160 million EUR. An Italian Cooperation office in Kyiv is also established.",Financial & Economic Aid
"At the 'Conference on the Reconstruction of Ukraine' in Italy, the Italian Cooperation agreed to contribute 10 million EUR to the EBRD in support of Ukraine’s fast energy recovery and security for the support of the Ukrainian company Ukrenergo.",Financial & Economic Aid
"According to the Italian Ministry of Foreign Affairs and International Cooperation, the Italian Agency for Development Cooperation (AICS) finalised a contract for the puschase and delivery of 52 electric generators to Ukraine, valued at 660,000",Uncategorised
"According to Source of Aid 1, within the Munich Security conference the Italian minister of Foreign Affairs Antonio Tajani Italy signed with the EBRD a EUR 200 million loan package to Ukraine’s main hydropower generation company, Ukrhydrenergo, to strengthen Ukraine’s energy security. It is specified in Souurce of Aid 2 which records the original EBRD project documents that the package is EUR 100 million loan by the EBRD backed by a concessional parallel loan of EUR 100 million from Italy, thus this entry will consider the EUR 100 million contribution from Italy. Source of Aid 3 is the EBRD press release. The project's Technical Cooperation Agreement (Source 4) specifies that the project finances the replacement of 4 hydropower generation units at the Dnipro hydro power plant (HPP) and  to replace old gantry cranes at the Seredniodnipro HPP. Additionally, the emergency liquidity support will help the Company strengthen its financial health and operations. This project is within the EBRD Resilience and Livelihoods Framework (Source 3) of up to €4.5 billion under the EBRD Resilience Package",Financial & Economic Aid
"According to Source of Aid 1, the Italian Ministry of Foreign Affairs and international cooperation is providing a contribution of EUR 500,000 for the reconstruction of a Cathedral in Odesa damaged by Russian missile attacks in July 2023. This will be in collaboration with UNESCO. ",Air Defense
"According to Source of Aid 1 and media Source of Aid 2, Italy allocates EUR 140 million for reconstruction, specifically for infrastructure, railways, healthcare, agriculture, and mine clearance, and EUR 45 million from this will be used for the reconstruction of Odesa. Source of Aid 3 time: (00.58.40 - 1.02.00)",Financial & Economic Aid
"According to Source of Aid 1 and media Source of Aid 2, Italy allocates EUR 140 million for reconstruction, specifically for infrastructure, railways, healthcare, agriculture, and mine clearance, and EUR 45 million from this will be used for the reconstruction of Odesa. Source of Aid 3 time: (00.58.40 - 1.02.00)",Financial & Economic Aid
"According to Source of Aid 1, on the instructions of Foreign Minister, Antonio Tajani, Italy has allocated €13 million to Ukraine Energy Support Fund. ",Financial & Economic Aid
"Since February 2022, Italy has sent an undisclosed number of lethal and non-lethal weapons to Ukraine, worth a total of 150 million EUR according to a statement of the Italian Ministry of Defense. Also, ""Source of Aid 3"" reports that 50 million EUR are accountable to the equipment material, while the remainder is related to major and minor weapons. The Italian government has not disclosed the full list, but, thanks to a leak published by “Il Fatto Quotidiano”, Italy has sent an undisclosed number of Stinger launchers, millions of rounds of ammunition caliber 12.7, thousands of mortar bombs, Browning machine guns, thousands of helmets, Milan launchers and thousands of food rations. ""Source of Aid 1"" reports also aid for refugees, which we don't report in our dataset because it is not a flow directed to Ukraine. ""Source of Aid 2"" lists also the aid package reported in ITF1 (110 million EUR).",Artillery & Heavy Weapons
"Italy approved a second tranche of military aid for Ukraine. The Minister of Defence declared that the second tranche of aid ""will be of the same nature as the first one"", in terms of items sent (see ITM1). However, no further details were announced.",General Announcements
"Italy approved a third tranche (see ITM1 and ITM2) of military aid to Ukraine, which entails 155 mm FH70 howitzers, Lince Armored vehicles and M130 tracks for troop transport, but does not include tanks or drones (see ""Source of Aid 3"") . According to ""Source of Aid 2"", on May 9 it became publicly know by John Kirby that besides Belgium (BEM4) and the Netherlands (NLM4), Italy would be sending either M-109 or 155mm howitzers PzH 2000, however the exact amount remains unclear. ""Source of Aid 3"" clarifies that Italy will deliver 155 mm FH70 towed howitzers (amount undisclosed).  Source of aid 4 provides the amount and additionally confirms the delivery.",Ground Combat
"Italy approved a third tranche (see ITM1 and ITM2) of military aid to Ukraine, which entails 155 mm FH70 howitzers, Lince Armored vehicles and M130 tracks for troop transport, but does not include tanks or drones (see ""Source of Aid 3"") . According to ""Source of Aid 2"", on May 9 it became publicly know by John Kirby that besides Belgium (BEM4) and the Netherlands (NLM4), Italy would be sending either M-109 or 155mm howitzers PzH 2000, however the exact amount remains unclear. ""Source of Aid 3"" clarifies that Italy will deliver 155 mm FH70 towed howitzers (amount undisclosed).  Source of aid 4 provides the amount and additionally confirms the delivery.",Ground Combat
"Italy approved a third tranche (see ITM1 and ITM2) of military aid to Ukraine, which entails 155 mm FH70 howitzers, Lince Armored vehicles and M130 tracks for troop transport, but does not include tanks or drones (see ""Source of Aid 3"") . According to ""Source of Aid 2"", on May 9 it became publicly know by John Kirby that besides Belgium (BEM4) and the Netherlands (NLM4), Italy would be sending either M-109 or 155mm howitzers PzH 2000, however the exact amount remains unclear. ""Source of Aid 3"" clarifies that Italy will deliver 155 mm FH70 towed howitzers (amount undisclosed).  Source of aid 4 provides the amount and additionally confirms the delivery.",Ground Combat
"Italy approved its fourth tranche (see ITM1, ITM2. ITM3) of military aid to Ukraine. As for the other four shipments, the type of weapons committed and the monetary value of the donation is still kept secret. ",Uncategorised
"Italy approved a fifth tranche (see ITM1, ITM2, ITM3, ITM4) of military aid to Ukraine As for the other four shipments, the type of weapons committed and the monetary value of the donation is still kept secret. ",Uncategorised
"In October 2022, La Republica revealed the last decree of the previous Italian Government regarding the supply of Ukraine with heavy weapons.
",Artillery & Heavy Weapons
"In October 2022, La Republica revealed the last decree of the previous Italian Government regarding the supply of Ukraine with heavy weapons.
",Artillery & Heavy Weapons
"In October 2022, La Republica revealed the last decree of the previous Italian Government regarding the supply of Ukraine with heavy weapons.
",Artillery & Heavy Weapons
"In October 2022, La Republica revealed the last decree of the previous Italian Government regarding the supply of Ukraine with heavy weapons.
",Artillery & Heavy Weapons
Italian government decides to provide Ukraine with a SAMP/T anti-air missile defense system. This missile defense system is an Italian-French partnership. The French Ambassador to Ukraine says that Italy will give one system (Source of Aid 3).,Air Defense
"Italy approved a sixth tranche (see ITM1, ITM2, ITM3, ITM4, ITM5) of military aid to Ukraine As for the other five shipments, the type of weapons committed and the monetary value of the donation is still kept secret. Source of Aid 4 says that Spada and Skyguard air defense systems are included in this package.  ",Air Defense
"Italy approved a sixth tranche (see ITM1, ITM2, ITM3, ITM4, ITM5) of military aid to Ukraine As for the other five shipments, the type of weapons committed and the monetary value of the donation is still kept secret. Source of Aid 4 says that Spada and Skyguard air defense systems are included in this package.  ",Air Defense
Italy provides training to 20 Ukrainian servicemen for working with the SAMP-T anti-missile system donated by France and Italy. ,Air Defense
"According to La Republica, some unknown sources speak of up to 60 M109 howitzers being delivered or soon to be delivered to Ukraine. 30 of these howitzers are recorded in ITM6 and the other 30 in this entry, in accordance with the upper bound rule. ",Artillery & Heavy Weapons
"Italy approved a seventh tranche (see ITM1, ITM2, ITM3, ITM4, ITM5, ITM8) of military aid to Ukraine As for the other six shipments, the type of weapons committed and the monetary value of the donation is still kept secret. Sources of Aid 3 and 4 note that there is speculation that this package likely includes an additional SAMP/T air defense system, but this is not conclusive. ",Air Defense
"According to Source of aid 1, which contains a stenographic report of the hearings in the Italian Parliament (ALLEGATO A), the total value of military equipment sent from Italy to Ukraine reached 1 billion euro (il nostro Paese ha sostenuto, sinora, costi per oltre 1 miliardo di euro per l'invio di armi all'Ucraina). Our dataset has recorded less so far, so we report the difference here.",Artillery & Heavy Weapons
"Italy approved an eighth tranche (see ITM1, ITM2, ITM3, ITM4, ITM5, ITM8, ITM 11) of military aid to Ukraine. As for the other seven shipments, the type of weapons committed and the monetary value of the donation remain classified. Source of Aid 1 provides the agreement on security cooperate between Italy and Ukraine, wherein Article 1 Paragraph 6, confirmation of 8 packages have been provided. Source of Aid 2 provides the overview of all the ministerial decrees authorizing these transfers.",Uncategorised
"During the Recovery Conference in Berlin, the Minister of Foreign Affairs announced a new military package for Ukraine aimed at strengthening its air defense (Source of Aid 1: 00.58.40 - 1.02.00), though no specific values were provided. He specified that the package will include SAMP/T (MAMBA) air defense systems, which we record here. ",Air Defense
Grant worth 110 million EUR.,Financial & Economic Aid
"200 million EUR loan for a 15-year period, with the grace period of 7.5 years, and applies a 0 % interest rate.",Financial & Economic Aid
"At the 'Conference on the Reconstruction of Ukraine' in Italy, the Italian Ministry of Economy and Finance will contribute to the EIB ""EU for Ukraine"" fund with a guarantee worth 100 million EUR.  ",Financial & Economic Aid
"Decided on in February 27, disbursed On March 11, the Government of Japan decided to extend 100 million US dollars in emergency humanitarian assistance to assist the people of Ukraine who are facing hardship in Ukraine and neighboring countries. $59.3 million are allocated directly to Ukraine, which is the amount we report here.",Financial & Economic Aid
"Decided on March 24, disbursed on April 5, the Government of Japan decided to provide additional 100 million US dollars in emergency humanitarian assistance to assist the people of Ukraine who are facing hardship in Ukraine and neighboring countries. $53.87 will go directly to Ukraine, which is the amount we report here.",Financial & Economic Aid
"On April 6, 2022, the United Nations Development Program (UNDP) announced that the Japanese government provided USD 4.5 million for emergency Explosive Ordnance (EO) clearance and debris removal in Ukraine. According to Japan’s Ministry of Foreign Affairs, this funding is part of a larger USD 100 million grant from Japan to Ukraine and neighboring countries (Source 2). Since our dataset focuses exclusively on aid within Ukraine’s territory, we have included only this specific USD 4.5 million as a new entry, rather than the full USD 100 million grant. A pamphlet issued by the UNDP Representative Office in Japan confirmed that this project has been implimented during April 2022 and July 2023 (Source 3).",Financial & Economic Aid
"Japan provided a grant for medical equipment to Ukraine. It belongs to the ""Economic and Social Development Programme"". Note that ""Source of Aid 1"" also includes the signment of a loan of 100 million USD, which belongs to the total volume that was committed earlier (see JPF1).",Financial & Economic Aid
"On April 28, 2022, Japanese Ministry of Agriculture, Forestry and Fisheries announced that Japan is going to provide foods and medical supplies to Ukrainian Government (Source 1). ",Training & Logistics & Support
"On April 28, 2022, Japanese Ministry of Agriculture, Forestry and Fisheries announced that Japan is going to provide foods and medical supplies to Ukrainian Government (Source 1). ",Training & Logistics & Support
"Government of Japan decided to extend an Emergency Grant Aid of about 1.66 million US dollars, considering further increase of needs for humanitarian assistance to assist the people of Ukraine.",Financial & Economic Aid
"The Japanese Ministry of Defense will provide new civilian vehicles (vans) to the Ukrainian government. They will also hand over additional small drones as stated in Source of Aid 1, quantified in Donation ID JPM3.",Artillery & Heavy Weapons
"According to Source of Aid 1 which is an official document by the Japanese government, Japan has provided Ukraine with generators and winterization support worth USD 2.57 million through international organisations. According to Source of Aid 2, this organization is the UNHRC.",Financial & Economic Aid
"Government of Japan decided to allocate approximately 500 million USD of Supplementary Budget in humanitarian assistance to Ukraine and its neighbouring countries and recovery and reconstruction of Ukraine. Only $495.37 million are intended directly for Ukraine, which is the amount we report here.",Financial & Economic Aid
"According to a pamphlet issued by the UNDP Representative Office (Source 1), Japanese government provided USD 94.9 million for UNDP's project titled ""Promoting human security in Ukraine with a response to the multidimensional crisis caused by the war."" Another UNDP document (Source 2) explains that this projects is implemented in 19 Oblast in Ukraine, mainly focusing on the three field (Mine action & victim assistance, Waste management, Crisis management and recovery planning). 
",Financial & Economic Aid
"The Government of Japan handed over two autotransformers to the Government of Ukraine as energy infrastructure assistance for recovery and reconstruction in Ukraine as part of the “Promotion of Human Security in Ukraine through Responding to the Multidimensional Crisis Caused by the War” programme implemented through the United Nations Development Programme (UNDP). Source of aid 4 says that in total 5 were delivered, so we increase the number in this entry.",Uncategorised
"On September 12, 2024, UNDP announced that it provide 400 tablets under the scheme of “Promoting Human Security in Ukraine through Response to the Multidimensional Crisis Caused by War,” the project funded by the Japanese government (Source 1).",General Announcements
"Since January 20, 237 generators from the Government of Japan through JICA have been arriving in Ukraine. Source of aid 2 states that the provided generators and solar lanterns are worth $2.57 million. We report this value here, since we do not have a price estimate for power generators, and to not underestimate the true value of Japanese support.",Financial & Economic Aid
"On March 3, 2023, the Japanese Ministry of Foreign Affairs announced the exchange of a note with Ukraine regarding Grant Aid for the ""Programme for Emergency Recovery,"" which allows Ukraine to receive 22.44 billion yen as a grant (Source 1). The grant agreement, commissioned on March 9, 2024, confirmed that this grant program has been officially established (Source 2).",Financial & Economic Aid
"On September 2, 2024, the Ukrainian Ministry for Communities, Territories, and Infrastructure Development announced that the Japan International Cooperation Agency (JICA) donated 97 units of heavy equipment to enhance services in the fields of transport, water supply, and waste recycling in the Kharkiv, Dnipro, Kherson, and Mykolaiv regions. This donation was made under the Emergency Recovery Program, which has a grant amount of JPY 22,440,000,000.",Artillery & Heavy Weapons
"According to Source of Aid 1, the Government of Japan has decided to provide the ""Programme for Emergency Recovery Phase 2” amounting to $400 million. This cooperation will provide the Government of Ukraine, which has been suffering from Russia’s aggression, with equipment necessary for mine action and debris clerance, which are prerequisites for recovery and reconstruction, livelihood reconstruction including the provision of basic infrastructure, recovery of agriculture as a key industry and strengthening democracy and governance. This will thereby contribute to the rapid recovery and reconstruction of Ukraine. Source of Aid 3 presents the grant agreement signed between the Government of Ukraine and the Japan International Cooperation Agency (JICA). ",Financial & Economic Aid
"According to Source of Aid 1, The Government of Japan has decided to grant support to Critical Energy Infrastructure Restoration and Immediate Provision of Energy Equipment in Ukraine through a grant worth $70 million. This project will support restoration of energy infrastructures damaged by Russian attacks. Source 3 details that the allocation is for  recovering and enhancing power supply to Combined Heat and Power Plants (CHPs) which provide the regions of Kyiv and Odesa with electricity, heat and water. The projects will be implemented in partnership with the United Nations Development Program.",Financial & Economic Aid
"Japan provides additional 5 million USD in response to the flood disaster in southern Ukraine. The funds will be provided through the World Food Program, UNICEF, International Organization for Migration, and the UNHCR. ",Financial & Economic Aid
The Government of Japan will provide an additional assistance to the flood disaster in southern Ukraine. The assistance will consist of humanitarian in-kind aid.,Uncategorised
The Government of Japan will provide an additional assistance to the flood disaster in southern Ukraine. The assistance will consist of humanitarian in-kind aid.,Uncategorised
The Government of Japan will provide an additional assistance to the flood disaster in southern Ukraine. The assistance will consist of humanitarian in-kind aid.,Uncategorised
The Government of Japan will provide an additional assistance to the flood disaster in southern Ukraine. The assistance will consist of humanitarian in-kind aid.,Uncategorised
The Government of Japan will provide an additional assistance to the flood disaster in southern Ukraine. The assistance will consist of humanitarian in-kind aid.,Uncategorised
The Government of Japan will provide an additional assistance to the flood disaster in southern Ukraine. The assistance will consist of humanitarian in-kind aid.,Uncategorised
"Prime Minister Kishida pledges USD 1 billion in a statement at a G7 summit video conference. Despite the initial announcement reporting a 4.5 USD billion increase in aid, of which 3.5 USD billion will go to the World Bank, we assume that the 3.5 billion loans to the World Bank are part of a 5 USD billion guarantee. Our assumption is confirmed by the official overview document issued by the Japanese government on December 15, 2023, a week after the current announcement was made. There is no information about the additional 3.5 USD billion in loans to the World Bank, only about 1 USD billion for humanitarian purposes.",Financial & Economic Aid
"Ambassador Extraordinary and Plenipotentiary of Japan to Ukraine and Ms. Anna Yurchenko, Deputy Minister for European Integration, Ministry for Communities, Territories and Infrastructure Development of Ukraine, signed and exchanged notes for the Programme for Emergency Recovery (Phase 3), amounting to JPY 15.8 billion. This cooperation will provide the Government of Ukraine with assistance in the areas of unexploded ordnance and mine action, electricity and energy, transportation, and public private partnership.",Financial & Economic Aid
"On July 6, 2024, Japanese Minister of Foreign Affairs Yoko Kamikawa delivered a speech at the Cambodia Mine Action Centre, announcing that Japan will provide Ukraine with demining training in collaboration with Cambodia, as well as demining equipment manufactured in Japan (Source 1). Another annoucement from the MoFA (Source 2) confirmed that four demining equipment has been delivered on July 9, 2024, through the Japan International Cooperation Agency (JICA) as part of the ""Unexploded Ordnance and Mine Action in Ukraine"" project. We assume this aid is funded by the grant reported on February 19, 2024, because according to information from the JICA (Source 3), this grant includes the provision of equipment for humanitarian mine action.",Training & Logistics & Support
"On August 2, 2024, Kuninori Matuda, Ambassador Extraordinary and Plenipotentiary to Ukraine and Nataliia Aliushyna, Head of the National Agency of Ukraine on Civil Service signed an agreement on the grant aid ""Scholarship Programme for Human Resources Development"" which is provided by Japan with a ceiling of 136 million yen.",Financial & Economic Aid
"On November 26, 2024, Japanese Ministry of Foreign Affairs announced that the Government of Japan has approved the financial support of 10,000,000 USD for WHO emergency response to address COVID-19 and other infectious diseases in Ukraine and neighboring countries.",Financial & Economic Aid
"Military basic supplies such as bulletproof vests, helmets, power generators and food. According to ""Source of Aid 1"", this was enacted officially on March 8. Source of Aid 4 lists 110000 provided food rations, out of which 100000 are intended for Ukraine. ",Training & Logistics & Support
